soda,chips,bread,,milk,apple
soda,,bread,butter,,
,,bread,butter,milk,
,chips,,,,apple
soda,chips,bread,butter,milk,apple
soda,chips,,,milk,
soda,chips,bread,butter,,apple
soda,chips,,,milk,
soda,,bread,,,apple
soda,,bread,butter,milk,
,chips,bread,,,apple
soda,,,butter,milk,apple
soda,chips,bread,butter,milk,
soda,,bread,,milk,apple
soda,,bread,butter,milk,apple
soda,chips,bread,butter,milk,apple
,chips,bread,butter,milk,apple
,chips,,butter,milk,apple
soda,chips,bread,butter,milk,apple
soda,,bread,butter,milk,apple
